Datetime,Close,High,Low,Open,Volume,symbol,signal,signal_strength,timestamp
2026-03-09 13:30:00+00:00,383.4800109863281,392.989990234375,381.3999938964844,390.04998779296875,18524354,TSLA,HOLD,80,2026-03-15 23:26
2026-03-09 14:30:00+00:00,388.3299865722656,388.5899963378906,383.44000244140625,383.44000244140625,9618912,TSLA,HOLD,80,2026-03-15 23:26
2026-03-09 15:30:00+00:00,390.1000061035156,390.8900146484375,387.17999267578125,388.2300109863281,7144403,TSLA,HOLD,80,2026-03-15 23:26
2026-03-09 16:30:00+00:00,389.010009765625,390.989990234375,388.68499755859375,390.1600036621094,5999196,TSLA,HOLD,80,2026-03-15 23:26
2026-03-09 17:30:00+00:00,391.2900085449219,391.7699890136719,388.510009765625,389.0,5254768,TSLA,HOLD,80,2026-03-15 23:26
2026-03-09 18:30:00+00:00,400.6000061035156,400.70001220703125,391.04998779296875,391.2699890136719,9268636,TSLA,HOLD,80,2026-03-15 23:26
2026-03-09 19:30:00+00:00,398.6400146484375,401.5780029296875,397.3299865722656,400.56500244140625,7205062,TSLA,HOLD,80,2026-03-15 23:26
2026-03-10 13:30:00+00:00,401.2049865722656,406.5799865722656,400.8800048828125,402.05499267578125,17071551,TSLA,HOLD,80,2026-03-15 23:26
2026-03-10 14:30:00+00:00,403.5799865722656,406.1000061035156,400.85809326171875,401.1499938964844,9194522,TSLA,HOLD,80,2026-03-15 23:26
2026-03-10 15:30:00+00:00,402.64599609375,403.80999755859375,400.95001220703125,403.54998779296875,6836485,TSLA,HOLD,80,2026-03-15 23:26
2026-03-10 16:30:00+00:00,403.3492126464844,404.19000244140625,402.07000732421875,402.6400146484375,5865567,TSLA,HOLD,80,2026-03-15 23:26
2026-03-10 17:30:00+00:00,400.5649108886719,403.3550109863281,398.19000244140625,403.3299865722656,7508336,TSLA,HOLD,80,2026-03-15 23:26
2026-03-10 18:30:00+00:00,399.8999938964844,401.95001220703125,399.3450012207031,400.58990478515625,5808032,TSLA,HOLD,80,2026-03-15 23:26
2026-03-10 19:30:00+00:00,399.2349853515625,400.739990234375,398.2699890136719,399.8565979003906,4038194,TSLA,HOLD,80,2026-03-15 23:26
2026-03-11 13:30:00+00:00,411.9112854003906,416.3799133300781,402.1499938964844,402.2200012207031,21665164,TSLA,HOLD,80,2026-03-15 23:26
2026-03-11 14:30:00+00:00,409.0,412.6000061035156,408.9599914550781,411.8500061035156,9248841,TSLA,HOLD,80,2026-03-15 23:26
2026-03-11 15:30:00+00:00,407.4100036621094,409.1000061035156,406.2300109863281,409.010009765625,7488315,TSLA,HOLD,80,2026-03-15 23:26
2026-03-11 16:30:00+00:00,408.2149963378906,408.6600036621094,406.2301025390625,407.4049987792969,5396514,TSLA,HOLD,80,2026-03-15 23:26
2026-03-11 17:30:00+00:00,405.53009033203125,408.3500061035156,403.95001220703125,408.2300109863281,5836827,TSLA,HOLD,80,2026-03-15 23:26
2026-03-11 18:30:00+00:00,406.1300048828125,406.80999755859375,404.9200134277344,405.54998779296875,4508750,TSLA,HOLD,80,2026-03-15 23:26
2026-03-11 19:30:00+00:00,407.8399963378906,408.25,406.1499938964844,406.1499938964844,4938915,TSLA,HOLD,80,2026-03-15 23:26
2026-03-12 13:30:00+00:00,399.5199890136719,406.5,399.42999267578125,405.1000061035156,14160295,TSLA,HOLD,80,2026-03-15 23:26
2026-03-12 14:30:00+00:00,396.99169921875,399.9599914550781,394.6499938964844,399.5299987792969,11842477,TSLA,HOLD,80,2026-03-15 23:26
2026-03-12 15:30:00+00:00,398.8599853515625,400.1400146484375,396.4200134277344,396.95001220703125,7815650,TSLA,HOLD,80,2026-03-15 23:26
2026-03-12 16:30:00+00:00,399.8900146484375,401.04998779296875,398.4599914550781,398.8572998046875,6045933,TSLA,HOLD,80,2026-03-15 23:26
2026-03-12 17:30:00+00:00,397.82501220703125,400.4599914550781,396.2500915527344,399.8299865722656,6024103,TSLA,HOLD,80,2026-03-15 23:26
2026-03-12 18:30:00+00:00,397.5899963378906,398.0799865722656,396.2799987792969,397.82501220703125,5524685,TSLA,HOLD,80,2026-03-15 23:26
2026-03-12 19:30:00+00:00,395.0050048828125,398.1289978027344,395.0,397.6099853515625,4973877,TSLA,HOLD,80,2026-03-15 23:26
2026-03-13 13:30:00+00:00,396.1427001953125,400.1600036621094,395.17999267578125,399.1650085449219,13798171,TSLA,HOLD,80,2026-03-15 23:26
2026-03-13 14:30:00+00:00,394.05999755859375,397.739990234375,392.2200012207031,396.1449890136719,10266600,TSLA,HOLD,80,2026-03-15 23:26
2026-03-13 15:30:00+00:00,395.0,395.1700134277344,392.29998779296875,394.05999755859375,6885592,TSLA,HOLD,80,2026-03-15 23:26
2026-03-13 16:30:00+00:00,395.0150146484375,395.95989990234375,392.90899658203125,394.9800109863281,6704544,TSLA,HOLD,80,2026-03-15 23:26
2026-03-13 17:30:00+00:00,393.1600036621094,395.2300109863281,392.1199951171875,394.9599914550781,5410913,TSLA,HOLD,80,2026-03-15 23:26
2026-03-13 18:30:00+00:00,390.9100036621094,393.9599914550781,390.0799865722656,393.1499938964844,7067902,TSLA,HOLD,80,2026-03-15 23:26
2026-03-13 19:30:00+00:00,391.1700134277344,392.1199951171875,389.95001220703125,390.9100036621094,5462800,TSLA,HOLD,80,2026-03-15 23:26
